"Month","Category Group/Category","Category Group","Category","Assigned","Activity","Available"
"Jun 2026","Credit Card Payments: Amex Gold (Due 20th)","Credit Card Payments","Amex Gold (Due 20th)","$0.00","$0.00","$0.00"
"Jun 2026","Credit Card Payments: Credit Card – 8072","Credit Card Payments","Credit Card – 8072","$0.00","$0.00","$0.00"
"Jun 2026","Credit Card Payments: Savor – 7573","Credit Card Payments","Savor – 7573","$0.00","$0.00","$0.00"
"Jun 2026","Credit Card Payments: Wells Fargo Autograph Visa�� Card – 5212","Credit Card Payments","Wells Fargo Autograph Visa�� Card – 5212","$0.00","$0.00","$0.00"
"Jun 2026","Bills: Electricity","Bills","Electricity","$0.00","-$59.22","-$59.22"
"Jun 2026","Bills: Public Transit","Bills","Public Transit","$0.00","-$14.25","-$14.25"
"Jun 2026","Bills: 🏠 Rent","Bills","🏠 Rent","$0.00","-$1,822.04","-$1,822.04"
"Jun 2026","Bills: 📄 Renter's insurance - Savings Bucket","Bills","📄 Renter's insurance - Savings Bucket","$0.00","$0.00","$0.00"
"Jun 2026","Bills: 🎓 Student loans","Bills","🎓 Student loans","$0.00","$0.00","$0.00"
"Jun 2026","Subscriptions: Costco","Subscriptions","Costco","$0.00","$0.00","$0.00"
"Jun 2026","Subscriptions: Prime","Subscriptions","Prime","$0.00","$0.00","$0.00"
"Jun 2026","Subscriptions: Spotify","Subscriptions","Spotify","$0.00","$0.00","$0.00"
"Jun 2026","Subscriptions: Amex Gold","Subscriptions","Amex Gold","$0.00","$0.00","$0.00"
"Jun 2026","Subscriptions: Google Subscription","Subscriptions","Google Subscription","$0.00","$0.00","$0.00"
"Jun 2026","Subscriptions: YNAB","Subscriptions","YNAB","$0.00","$0.00","$0.00"
"Jun 2026","Monthly Living / Lifestyle: Interest","Monthly Living / Lifestyle","Interest","$0.00","-$45.22","-$45.22"
"Jun 2026","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health","$0.00","-$35.89","-$35.89"
"Jun 2026","Monthly Living / Lifestyle: Haircut","Monthly Living / Lifestyle","Haircut","$0.00","$0.00","$0.00"
"Jun 2026","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","$0.00","-$124.19","-$124.19"
"Jun 2026","Fun Spending: Charity","Fun Spending","Charity","$0.00","$0.00","$0.00"
"Jun 2026","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","$0.00","-$142.51","-$142.51"
"Jun 2026","Fun Spending: Holidays","Fun Spending","Holidays","$0.00","$0.00","$0.00"
"Jun 2026","Fun Spending: Concerts, Shows & General","Fun Spending","Concerts, Shows & General","$0.00","$0.00","$0.00"
"Jun 2026","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","$0.00","-$146.99","-$146.99"
"Jun 2026","Fun Spending: Bars","Fun Spending","Bars","$0.00","-$112.15","-$112.15"
"Jun 2026","Fun Spending: Fun Transport","Fun Spending","Fun Transport","$0.00","-$25.68","-$25.68"
"Jun 2026","Fun Spending: Random Subscription","Fun Spending","Random Subscription","$0.00","-$59.75","-$59.75"
"Jun 2026","Wealth Building: Roth IRA","Wealth Building","Roth IRA","$0.00","$0.00","$0.00"
"Jun 2026","Wealth Building: Holdover","Wealth Building","Holdover","$0.00","$0.00","$0.00"
"Jun 2026","Wealth Building: 😌 Emergency Fund","Wealth Building","😌 Emergency Fund","$0.00","$0.00","$0.00"
"Jun 2026","Wealth Building: Travel","Wealth Building","Travel","$0.00","-$170.15","-$170.15"
"Jun 2026","Short-Term Savings: Move in July","Short-Term Savings","Move in July","$0.00","$0.00","$0.00"
